"filename", "language", "PHP", "MS SQL", "JSON", "reStructuredText", "XML", "Markdown", "YAML", "comment", "blank", "total"
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\.github\PULL_REQUEST_TEMPLATE\FAILING_TEST.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 12, 2, 14
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\.github\PULL_REQUEST_TEMPLATE\FIX.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 12, 2, 14
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\.github\PULL_REQUEST_TEMPLATE\IMPROVEMENT.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 8, 2, 10
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\.github\PULL_REQUEST_TEMPLATE\NEW_FEATURE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 8, 2, 10
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\.github\SECURITY.md", "Markdown", 0, 0, 0, 0, 0, 17, 0, 0, 6, 23
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\.github\dependabot.yml", "YAML", 0, 0, 0, 0, 0, 0, 15, 0, 1, 16
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\.github\scorecard.yml", "YAML", 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\.github\workflows\branch_main.yml", "YAML", 0, 0, 0, 0, 0, 0, 17, 0, 8, 25
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\.github\workflows\part_dependabot.yml", "YAML", 0, 0, 0, 0, 0, 0, 22, 1, 8, 31
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\.github\workflows\part_docs.yml", "YAML", 0, 0, 0, 0, 0, 0, 44, 0, 8, 52
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\.github\workflows\part_release.yml", "YAML", 0, 0, 0, 0, 0, 0, 80, 0, 15, 95
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\.github\workflows\part_test.yml", "YAML", 0, 0, 0, 0, 0, 0, 160, 0, 22, 182
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\.github\workflows\pr.yml", "YAML", 0, 0, 0, 0, 0, 0, 37, 0, 14, 51
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\.github\workflows\scorecard.yml", "YAML", 0, 0, 0, 0, 0, 0, 40, 29, 10, 79
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\.github\workflows\tag-beta.yml", "YAML", 0, 0, 0, 0, 0, 0, 21, 0, 9, 30
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\.github\workflows\tag-stable.yml", "YAML", 0, 0, 0, 0, 0, 0, 40, 0, 16, 56
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\.phive\phars.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\.php-cs-fixer.dist.php", "PHP", 60, 0, 0, 0, 0, 0, 0, 8, 6, 74
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\README.md", "Markdown", 0, 0, 0, 0, 0, 116, 0, 0, 42, 158
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\composer.json", "JSON", 0, 0, 93, 0, 0, 0, 0, 0, 1, 94
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\guides\ContentLength.rst", "reStructuredText", 0, 0, 0, 35, 0, 0, 0, 1, 12, 48
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\guides\FlySystem.rst", "reStructuredText", 0, 0, 0, 25, 0, 0, 0, 1, 9, 35
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\guides\Nginx.rst", "reStructuredText", 0, 0, 0, 11, 0, 0, 0, 1, 4, 16
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\guides\Options.rst", "reStructuredText", 0, 0, 0, 50, 0, 0, 0, 1, 16, 67
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\guides\PSR7Streams.rst", "reStructuredText", 0, 0, 0, 14, 0, 0, 0, 1, 7, 22
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\guides\StreamOutput.rst", "reStructuredText", 0, 0, 0, 30, 0, 0, 0, 1, 9, 40
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\guides\Symfony.rst", "reStructuredText", 0, 0, 0, 97, 0, 0, 0, 2, 32, 131
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\guides\Varnish.rst", "reStructuredText", 0, 0, 0, 18, 0, 0, 0, 1, 4, 23
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\guides\index.rst", "reStructuredText", 0, 0, 0, 92, 0, 0, 0, 6, 29, 127
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\phpdoc.dist.xml", "XML", 0, 0, 0, 0, 39, 0, 0, 0, 0, 39
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\psalm.xml", "XML", 0, 0, 0, 0, 23, 0, 0, 2, 1, 26
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\src\CentralDirectoryFileHeader.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 3, 6, 53
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\src\CompressionMethod.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 74, 25, 107
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\src\DataDescriptor.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 3, 5, 27
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\src\EndOfCentralDirectory.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 4, 5, 36
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\src\Exception.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 4, 8
"c:\wamp64\www\excel_extract\vendor\maennchen\zipstream-php\src\Exception\DosTimeOverflowException.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 6, 5, 24
